"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/p28020"	"STEFANO"	"JACINI"	"18861103"	"19520531"	"true"
"http://dati.camera.it/ocd/persona.rdf/p18970"	"ANGELO RAFFAELE"	"JERVOLINO"	"18900902"	"19850310"	"true"
"http://dati.camera.it/ocd/persona.rdf/p3250"	"UGO"	"LA MALFA"	"19030516"	"19790326"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12102"	"RAFFAELE"	"LA VOLPE"	"19001127"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12099"	"EUGENIO"	"LARICCHIUTA"	"18961115"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12100"	"MARIO"	"LAURETI"	"19060404"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12101"	"ALFREDO"	"LAVATELLI"	"19080320"		"true"
"http://dati.camera.it/ocd/persona.rdf/p8860"	"FRANCESCO"	"LEONE"	"19000313"	"19840524"	"true"
"http://dati.camera.it/ocd/persona.rdf/p26200"	"GIROLAMO"	"LI CAUSI"	"18960101"	"19770414"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12104"	"FRANCESCO"	"LIBONATI"	"18990807"		"true"
"http://dati.camera.it/ocd/persona.rdf/p17250"	"ORESTE"	"LIZZADRI"	"18960517"	"19760729"	"true"
"http://dati.camera.it/ocd/persona.rdf/p3410"	"MARIO"	"LIZZERO"	"19130628"	"19941211"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12107"	"MELCHIADE"	"LODI"			"true"
"http://dati.camera.it/ocd/persona.rdf/pr12108"	"JOLE"	"LOMBARDI"	"19180815"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12110"	"GIUSEPPE"	"LOMBARDO"	"19001012"		"true"
"http://dati.camera.it/ocd/persona.rdf/p3470"	"LUIGI"	"LONGO"	"19000315"	"19801016"	"true"
"http://dati.camera.it/ocd/persona.rdf/p28050"	"EMIDIO"	"LOPARDI"	"18771125"	"19601001"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12113"	"CONCETTO"	"LOPRESTI"	"19031208"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12114"	"ACHILLE"	"LORDI"	"19111003"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12115"	"GUIDO"	"LUCATELLO"	"19100915"		"true"
"http://dati.camera.it/ocd/persona.rdf/p8950"	"ROBERTO"	"LUCIFERO"	"19031216"	"19930111"	"true"
"http://dati.camera.it/ocd/persona.rdf/p3520"	"GIUSEPPE"	"LUPIS"	"18960328"	"19791019"	"true"
"http://dati.camera.it/ocd/persona.rdf/p28070"	"EMILIO"	"LUSSU"	"18901204"	"19750310"	"true"
"http://dati.camera.it/ocd/persona.rdf/p8960"	"LUCIO MARIO"	"LUZZATTO"	"19130705"	"19861004"	"true"
"http://dati.camera.it/ocd/persona.rdf/p28080"	"FABRIZIO"	"MAFFI"	"18681002"	"19550223"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12118"	"CLAUDIA"	"MAFFIOLI"	"18960128"		"true"
"http://dati.camera.it/ocd/persona.rdf/p12190"	"ALCIDE"	"MALAGUGINI"	"18871015"	"19661224"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr301212"	"FRANCESCO"	"MALGERI"	"18711229"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12120"	"DANTE"	"MALINTOPPI"			"true"
"http://dati.camera.it/ocd/persona.rdf/p28100"	"PIETRO"	"MANCINI"	"18760708"	"19680218"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300839"	"MICHELE"	"MANCINO"			"true"
"http://dati.camera.it/ocd/persona.rdf/pr12122"	"ANTONIO"	"MANES"	"18910709"	"19501029"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12123"	"GIUSEPPE"	"MANFREDINI"	"19010620"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12124"	"ENZO"	"MANFREDONIA"	"19090203"		"true"
"http://dati.camera.it/ocd/persona.rdf/p9030"	"PIERRAIMONDO"	"MANZINI"	"19010218"	"19880114"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12127"	"GIUSEPPE"	"MARAZZINI"	"18860612"		"true"
"http://dati.camera.it/ocd/persona.rdf/p26320"	"CONCETTO"	"MARCHESI"	"18780201"	"19570212"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12128"	"ADA"	"MARCHESINI PROSPERO"	"19020723"		"true"
"http://dati.camera.it/ocd/persona.rdf/p28130"	"ODDO"	"MARINELLI"	"18880124"	"19720117"	"true"
"http://dati.camera.it/ocd/persona.rdf/p303334"	"ATTILIO"	"MARIOTTI"		"195502"	"true"
